"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1991/12/01","00:00","1.486","0.486","-0.413","-2.444","-2.395","-4.383","-5.814","-7.625","0"
"1992/01/01","00:00","1.677","0.456","-0.384","-2.395","-2.375","-4.364","-5.686","-7.274","0"
"1992/02/01","00:00","1.555","0.607","-0.125","-2.093","-2.064","-4.016","-5.056","-6.716","0"
"1992/03/01","00:00","1.394","0.335","-0.164","-2.113","-2.093","-4.026","-4.925","-5.955","0"
"1992/04/01","00:00","0.807","-0.194","-0.745","-2.654","-2.615","-4.485","-5.515","-6.873","11"
"1992/05/01","00:00","1.016","0.066","-0.664","-2.655","-2.594","-4.534","-5.865","-6.814","0"
"1992/06/01","00:00","1.446","0.226","-0.615","-2.624","-2.594","-4.574","-5.974","-7.175","0"
"1992/07/01","00:00","1.446","0.345","-0.474","-2.544","-2.514","-4.544","-5.874","-7.324","0"
"1992/08/01","00:00","0.925","0.226","-0.466","-2.493","-2.484","-4.505","-5.413","-6.575","0"
"1992/09/01","00:00","1.194","0.164","-0.364","-2.365","-2.336","-4.304","-5.213","-5.823","0"
"1992/10/01","00:00","1.745","0.177","-0.305","-2.293","-2.244","-4.193","-5.305","-6.516","0"
"1992/11/01","00:00","1.316","0.056","-0.564","-2.566","-2.513","-4.465","-5.764","-6.975","0"
"1992/12/01","00:00","1.736","0.407","-0.404","-2.385","-2.346","-4.285","-5.554","-7.175","0"
"1993/01/01","00:00","1.926","0.584","-0.223","-2.185","-2.156","-4.094","-5.276","-6.614","0"
"1993/02/01","00:00","1.785","0.617","-0.154","-2.185","-2.165","-4.183","-5.213","-6.565","0"
"1993/03/01","00:00","0.755","-0.115","-0.715","-2.684","-2.654","-4.593","-5.633","-7.113","0"
"1993/04/01","00:00","0.866","-0.476","-1.033","-3.054","-3.015","-5.003","-6.165","-7.175","0"
"1993/05/01","00:00","0.876","0.036","-0.666","-2.694","-2.654","-4.646","-5.843","-7.674","0"
"1993/06/01","00:00","1.125","0.164","-0.705","-2.733","-2.703","-4.705","-6.033","-7.146","0"
"1993/07/01","00:00","1.066","0.374","-0.476","-2.513","-2.484","-4.485","-5.755","-6.985","0"
"1993/08/01","00:00","0.774","0.207","-0.476","-2.484","-2.484","-4.495","-5.495","-6.585","0"
"1993/09/01","00:00","0.846","-0.033","-0.505","-2.474","-2.464","-4.426","-5.174","-6.063","0"
"1993/10/01","00:00","1.975","0.046","-0.433","-2.415","-2.415","-4.383","-5.325","-6.506","0"
"1993/11/01","00:00","1.335","0.154","-0.535","-2.533","-2.493","-4.455","-5.725","-7.556","0"
"1993/12/01","00:00","2.165","0.285","-0.535","-2.585","-2.546","-4.554","-5.955","-7.356","0"
"1994/01/01","00:00","1.037","0.217","-0.545","-2.595","-2.575","-4.603","-5.764","-7.215","0"
"1994/02/01","00:00","1.437","0.115","-0.594","-2.585","-2.575","-4.564","-5.443","-6.535","0"
"1994/03/01","00:00","0.827","-0.194","-0.764","-2.805","-2.785","-4.813","-5.653","-6.903","0"
"1994/04/01","00:00","1.027","-0.545","-1.053","-3.084","-3.054","-5.056","-6.135","-7.556","0"
"1994/05/01","00:00","1.217","-0.289","-0.938","-2.972","-2.927","-4.915","-6.158","-7.805","0"
"1994/06/01","00:00","1.096","-0.141","-0.945","-2.949","-2.915","-4.885","-6.119","-7.785","0"
"1994/07/01","00:00","1.106","0.115","-0.689","-2.635","-2.613","-4.537","-5.633","-7.054","0"
"1994/08/01","00:00","0.817","-0.046","-0.725","-2.667","-2.646","-4.567","-5.509","-6.306","0"
"1994/09/01","00:00","0.374","-0.144","-0.61","-2.589","-2.569","-4.528","-5.354","-6.043","0"
"1994/10/01","00:00","1.047","-0.164","-0.571","-2.585","-2.557","-4.544","-5.463","-6.424","0"
"1994/11/01","00:00","1.604","0.013","-0.659","-2.707","-2.674","-4.688","-5.879","-7.405","0"
"1994/12/01","00:00","2.116","0.384","-0.463","-2.549","-2.498","-4.534","-5.896","-7.244","0"
"1995/01/01","00:00","1.765","0.925","0.089","-1.998","-1.983","-4.055","-5.322","-7.224","0"
"1995/02/01","00:00","0.896","0.223","-0.436","-2.425","-2.416","-4.396","-5.325","-6.624","0"
"1995/03/01","00:00","1.086","0.164","-0.292","-2.283","-2.285","-4.278","-4.993","-6.125","0"
"1995/04/01","00:00","0.466","-0.509","-1.014","-3.022","-2.999","-4.984","-5.935","-7.303","0"
"1995/05/01","00:00","1.355","-0.151","-0.83","-2.841","-2.803","-4.777","-5.991","-7.365","0"
"1995/06/01","00:00","1.135","-0.062","-0.853","-2.871","-2.836","-4.82","-6.073","-7.933","0"
"1995/07/01","00:00","1.335","0.164","-0.587","-2.608","-2.585","-4.583","-5.719","-7.484","0"
"1995/08/01","00:00","1.355","0.164","-0.499","-2.497","-2.487","-4.475","-5.315","-6.814","0"
"1995/09/01","00:00","0.584","-0.043","-0.535","-2.539","-2.525","-4.514","-5.318","-6.404","0"
"1995/10/01","00:00","0.607","-0.131","-0.554","-2.582","-2.546","-4.537","-5.518","-6.893","0"
"1995/11/01","00:00","1.125","-0.118","-0.696","-2.769","-2.73","-4.764","-5.896","-7.493","0"
"1995/12/01","00:00","1.575","0.259","-0.535","-2.598","-2.567","-4.6","-5.827","-7.523","0"
"1996/01/01","00:00","1.181","0.046","-0.755","-2.749","-2.731","-4.708","-5.863","-7.674","0"
"1996/02/01","00:00","1.437","0.292","-0.328","-2.326","-2.31","-4.291","-5.21","-6.411","0"
"1996/03/01","00:00","0.535","-0.299","-0.719","-2.677","-2.662","-4.606","-5.381","-6.198","0"
"1996/04/01","00:00","0.453","-0.62","-1.037","-3.015","-2.987","-4.938","-5.81","-6.604","0"
"1996/05/01","00:00","0.902","-0.285","-0.919","-2.923","-2.889","-4.859","-5.968","-7.119","0"
"1996/06/01","00:00","0.938","-0.141","-0.912","-2.943","-2.91","-4.908","-6.161","-7.454","0"
"1996/07/01","00:00","1.381","0.207","-0.561","-2.638","-2.626","-4.692","-5.866","-7.405","0"
"1996/08/01","00:00","0.784","0.026","-0.571","-2.635","-2.62","-4.669","-5.541","-6.913","0"
"1996/09/01","00:00","0.636","-0.007","-0.44","-2.467","-2.456","-4.472","-5.203","-5.82","0"
"1996/10/01","00:00","0.666","-0.272","-0.669","-2.661","-2.635","-4.6","-5.545","-6.631","0"
"1996/11/01","00:00","1.079","-0.223","-0.787","-2.789","-2.753","-4.718","-5.873","-7.051","0"
"1996/12/01","00:00","1.729","0.276","-0.446","-2.454","-2.413","-4.38","-5.663","-7.238","0"
"1997/01/01","00:00","1.263","0.433","-0.322","-2.326","-2.295","-4.268","-5.384","-7.503","0"
"1997/02/01","00:00","1.138","-0.203","-0.922","-2.93","-2.935","-4.948","-5.886","-7.329","0"
"1997/03/01","00:00","0.243","-0.446","-0.902","-2.9","-2.874","-4.846","-5.676","-6.978","0"
"1997/04/01","00:00","0.217","-0.699","-1.142","-3.153","-3.125","-5.108","-6.106","-6.995","0"
"1997/05/01","00:00","0.61","-0.223","-0.801","-2.822","-2.792","-4.783","-5.886","-7.054","0"
"1997/06/01","00:00","1.129","0.164","-0.594","-2.638","-2.61","-4.626","-5.827","-7.28","0"
